"","X786.0","A498","A549.ATCC","ACHN","BT.549","CAKI.1","CCRF.CEM","COLO.205","DU.145","EKVX","HCC.2998","HCT.116","HCT.15","HL.60.TB.","HOP.62","HOP.92","HS.578T","HT29","IGROV1","K.562","KM12","LOX.IMVI","M14","MALME.3M","MCF7","MDA.MB.231.ATCC","MDA.MB.435","MOLT.4","NCI.H226","NCI.H23","NCI.H322M","NCI.H460","NCI.H522","NCI.ADR.RES","OVCAR.3","OVCAR.4","OVCAR.5","OVCAR.8","PC.3","RPMI.8226","SF.268","SF.295","SF.539","SK.MEL.28","SK.MEL.5","SK.OV.3"
"DVL1",6.94953610024554,5.98185493603325,6.62644059691423,6.57440582286758,7.22689477665187,6.77478837713029,6.42458790575541,7.25644554002777,6.6452996052017,6.40088114361258,8.07146289887438,7.87651756047765,7.38284100888183,6.81249950886951,7.18090470345543,7.89117673246084,8.01010901309212,7.44791057502766,7.52199374132803,7.57289042613837,7.72996124057275,6.84799815889385,6.5954454765174,6.0938157856926,7.79766217425588,7.31197622238727,7.0279071020829,6.27612626681502,5.77873687197526,6.89481897565621,7.24697900938073,6.71562023176212,6.72246739065893,7.49665488142774,8.78528930769742,6.56529404401743,6.88630748297435,6.93192057166798,8.6567827216756,7.74617905292982,7.04001677512029,6.61765258856614,6.52199452625396,6.30012555539912,6.38370602025151,7.98641150413799
"BAMBI",7.69348765445328,8.1623918323153,10.1516509568037,5.27426538914639,9.08640191127644,6.98868582275207,5.67807472287364,9.55132394029718,5.21723459442793,9.76851534560297,9.81538345593507,7.49105217830667,8.76719163414896,5.99322373219454,8.76917699415494,6.58346041450438,7.69488088908041,5.00450588660502,6.54535218946284,6.66817728754863,8.60622049148821,5.63227112415594,10.0594798000934,11.5276725288153,10.2051824484391,6.33270972358371,9.10250093160172,4.46598099252116,7.95419689211863,7.64961617753686,6.90689179785389,6.62351720466936,5.66675943183288,6.65678379404489,4.94017144980754,7.62935734871328,7.34163089878404,5.59991581681301,5.94016910014709,6.00000225420924,8.71493269512097,8.48341313662901,5.95419863731248,10.8706730318752,9.81008974553617,8.24365051787678
"ARRB2",5.68369926110348,5.37504290771633,9.0292875030821,7.20359369296928,7.23649357507531,6.31650962925886,8.25550120523438,7.32283039874981,7.69209307305557,6.96347527998006,7.36981629652974,7.25927342874423,7.24887729135427,7.65821219695708,5.65248936309631,6.01569603692574,6.97154470350812,5.55459192123829,6.5969366327739,6.01792413437678,7.55074755482039,6.41108892209142,6.92481369100862,6.75622404743968,6.92124707892754,6.77347024663863,7.76818498656349,7.87282937501899,5.03562830818451,6.48864514641752,7.27705580631931,7.53138224035126,7.12722158245841,8.06393484487771,6.86294848744912,6.46760718024596,5.37156234737838,8.1032883330283,6.21917045696427,6.5954454765174,7.40429091609455,6.40599406096616,5.6147127883878,4.64962120684097,6.2517209859053,4.42627146489599
"PLCB4",7.00786936430807,7.1334001529774,6.68510057404192,9.82161471877728,5.10852863849686,6.99661584456828,1.07045802601959,0.678162070735047,3.98186178424212,4.9772845034769,4.1937796269546,3.80736522698538,2.67809444704654,3.73336518790418,5.06609349700371,3.92600890993974,6.67384046901133,1.32198580153487,6.0938157856926,1.32198580153487,6.42458790575541,1.84803698086061,5.45615232096553,6.84924995401715,5.2705326799278,1.37856711045748,0.678162070735047,0.378622595527227,5.73335705244406,3.65536327852776,4.64386196054335,2.53607777407821,4.98185721877315,8.48260671143323,6.00674907613253,6.03342520412362,5.89966144295003,8.11009227407308,5.59096423448273,1.26309451687486,5.94720092250172,5.12101954663081,6.33449855611551,6.73876918763761,6.40429176774376,5.16992900892297
"GSTA2",4.83289507624372,4.05312002736737,3.64386773128889,4.36457943565284,4.37156583213639,5.97957038645636,4.64386196054335,5.73877053847377,2.65537472835209,4.74953963083788,2.60883289322004,3.01793971893721,2.32195694849964,3.33629767190304,2.84801694384693,4.35050431910131,3.93546917715383,3.10435343524094,2.35052553494486,4.84800191590403,2.86791622680306,4.72247148921468,3.01793971893721,4.57894474946168,5.23649644515352,3.0000180335753,2.60883289322004,2.80737553183955,3.67808317612362,4.50462674787432,5.97957038645636,3.88753501864812,4.37851855927091,3.05312871822282,2.78661727036308,3.20164954255226,4.07895987802661,2.92601840126082,3.21724622898717,3.63227985009003,3.81763348935487,2.48545258935167,4.12929126089307,4.9212506499475,3.7115059195473,3.01793971893721
"BCL9",6.71699226578741,5.74953694925606,5.84799941123167,6.40429176774376,5.64674157793579,7.74550693814069,7.34961385637057,7.19869156776187,6.29645924285995,6.43296107706107,4.95884731412659,6.19180147465475,6.52826030580745,2.56073940672558,6.27053081115547,6.32373213863763,6.55459038645878,5.93073970263479,7.31288386263944,3.75489818875382,5.45943489748594,6.11894314854222,6.96116141599736,6.71424689166075,6.68930055849553,5.48220615379803,6.22110565927414,6.74550761041191,5.1858705087538,7.29001976878219,6.43962479964722,6.73335569652958,7.29737577768953,6.34340959901475,6.55151755568161,6.12928507793641,6.1354548363815,5.91408848953983,6.56833770235954,6.49984748122049,6.57743033871039,6.55305478918204,5.90207599184224,6.11061589333591,6.2909422449249,6.03782366131616
"MGST2",6.41278321864152,8.26021435731767,9.23888261261829,7.43296024216883,3.62059813963217,7.43962396860241,6.57743033871039,10.016947676487,7.19770914071781,8.54225843675588,8.79181439667962,6.94719975338236,8.63589982861477,9.38370450844635,8.03782201440558,7.89905536059104,5.28910039217241,7.58195450382098,8.12876819211777,8.99237219028033,8.32102657971705,4.00000901681583,7.06716650285194,8.28123504838691,8.43962355307982,7.40258661088898,7.65963990051451,3.59694706543747,3.94486781392674,5.77347156537087,8.29829218890945,8.77082937631978,4.75489284546854,7.76818498656349,8.297375319109,8.06069647202267,9.14949335557781,6.82527810227216,8.00618636108778,6.45450658259069,6.06609134373235,6.73199914383505,7.25738878563028,7.57742958337327,8.12360464142126,8.04712445755628
"GSTM2",7.26209578523635,8.74550660200496,7.16792086881657,7.65392058945243,6.85922540460906,7.65892622534427,7.36719718385667,7.86913173670791,8.88661141666716,9.09354987689537,7.20261459957452,6.98868582275207,7.84799753272454,7.39317677258474,8.14312858327094,9.47755611310254,8.85299789961481,6.32912539068727,7.46107093281548,8.31152173393215,6.4822045400479,6.54071081228933,8.66640190942491,9.23625366418588,8.13237171287893,9.10512306023826,8.49904899648867,9.30081035172881,7.13750454839094,9.40066621751721,7.18784789894201,9.68369662973149,7.95419689211863,6.38888006040409,7.36632308860618,7.68999867006094,6.52356352420294,7.45532804235278,7.36719718385667,7.45943243835016,8.76288062502908,7.88996080787733,6.69069784058403,8.40429049026976,9.08507431867759,6.49505712780731
"PTGS2",4.45286555234736,3.05312871822282,8.83162425347898,2.92601840126082,0.000144262291094538,3.13751991791861,2.56073940672558,1.48547835107307,0.48552987313585,7.15177866928517,1.48547835107307,2.48545258935167,0.263154625411455,3.47250076865682,7.03782256337598,2.9818709151367,4.75489284546854,5.35755552338219,1.20169658567743,1.13756909930691,4.75489284546854,7.88142051992223,4.23266843067966,0.263154625411455,3.99096393392218,1.32198580153487,1.43301283943629,-0.151842802900928,3.08747981403333,3.93546917715383,5.56681819766811,8.04603316060921,4.35050431910131,3.05312871822282,2.29281119168335,-0.321747769277367,5.05745460459493,1.32198580153487,3.58497452312974,1.43301283943629,1.00007213294874,1.48547835107307,5.17393092837943,4.2479351065554,3.27799962036785,1.20169658567743
"ALDH3B2",5.05745460459493,5.21723459442793,4.05312002736737,4.66107118214762,4.0874713276668,5.44294681238524,4.83794828627046,5.46923805031193,3.82782918440578,4.87774915706665,4.81250335947048,4.85300257962904,4.22497407992639,4.30013104787551,4.21723847262477,5.1538093885875,5.07468096728233,4.98185721877315,4.32193530834453,4.49825725112008,4.74953963083788,4.67243099958801,4.17792576286466,4.6264449775561,7.88630687321352,4.71699637992699,4.80219838788253,4.9212506499475,5.23266459374007,4.49825725112008,6.95303354165555,5.22882253767753,5.78136233660417,4.14568560599205,5.2705326799278,5.83794576408295,4.9212506499475,4.73877324014229,4.3575590421377,4.88264793984522,3.67808317612362,3.94486781392674,4.76554005037911,4.81250335947048,4.65535755358152,4.35050431910131
