"","CAKI.1","MALME.3M","SK.MEL.28","MOLT.4","SNB.19","RPMI.8226","IGROV1","HOP.62","SN12C","SNB.75","NCI.H322M","OVCAR.5","HS.578T","K.562","SK.OV.3","NCI.ADR.RES","SW.620","NCI.H522","HCT.15","OVCAR.3","A549.ATCC","DU.145","MCF7","OVCAR.4","TK.10","COLO.205","NCI.H460","EKVX","NCI.H226","UACC.62","LOX.IMVI","BT.549","HL.60.TB.","UO.31","OVCAR.8","HCC.2998","UACC.257","T.47D","U251","HCT.116"
"CLYBL",1.58501058975437,2.53607777407821,1.13756909930691,2.92601840126082,2.0704236773644,1.92603738371565,2.67809444704654,3.58497452312974,3.37852549525474,4.18587447218539,1.32198580153487,2.94487718198511,-2.32120692764371,3.0356415034654,2.92601840126082,2.2326914521029,2.82783934412269,1.20169658567743,1.67811698862824,2.45945784921776,0.585058677184702,1.13756909930691,2.37853936712236,3.57290179185738,2.92601840126082,2.9818709151367,1.43301283943629,3.10435343524094,2.37853936712236,3.10435343524094,2.56073940672558,2.63229148458671,3.40600596994221,3.0000180335753,3.20164954255226,2.78661727036308,2.60883289322004,3.63227985009003,2.84801694384693,3.07040650273013
"BHMT",4.42627146489599,3.32194252176564,2.53607777407821,3.81763348935487,3.79702335689982,4.56072106757611,1.63231475329861,2.80737553183955,4.57289573015172,3.43297276550168,3.97270184311539,2.80737553183955,2.20166522376443,3.54844895537019,4.38543794002409,3.68931034417503,3.84800692523572,1.84803698086061,3.419552374582,2.32195694849964,1.07045802601959,2.40601958008019,3.93546917715383,4.34341492915243,4.56072106757611,4.00899774403819,4.68370206789498,2.00003606692519,4.07039791533632,1.96351111568117,1.58501058975437,2.29281119168335,3.59694706543747,4.28540961727939,3.78660681616482,3.24794269962725,4.76022627005462,4.39232429273879,3.53606533721282,4.07039791533632
"PDE5A",2.80737553183955,2.82783934412269,2.88754476648879,2.48545258935167,2.56073940672558,2.60883289322004,0.848077054053145,2.10437021047208,2.82783934412269,2.10437021047208,2.82783934412269,3.94486781392674,1.76557717794607,3.12103198356768,3.15382154604461,2.53607777407821,2.20166522376443,3.60882106799625,1.53610264748736,2.88754476648879,2.63229148458671,3.0356415034654,2.45945784921776,2.72248788332127,2.45945784921776,2.48545258935167,4.20946116395945,1.67811698862824,2.92601840126082,2.51098722949467,3.35051139108383,2.88754476648879,2.60883289322004,2.48545258935167,3.44626946556317,5.39232085776286,2.94487718198511,3.97270184311539,3.48543970831846,3.10435343524094
"IL4I1",3.35051139108383,4.04440286293827,6.2075044114835,3.60882106799625,0.765619608281233,1.37856711045748,3.96348337199038,1.58501058975437,1.76557717794607,2.40601958008019,3.67808317612362,4.12102369228835,1.07045802601959,2.00003606692519,3.80736522698538,3.60882106799625,2.90690983141416,1.20169658567743,5.93310283613245,3.15382154604461,1.20169658567743,2.56073940672558,3.51097457444153,1.80739614132707,4.45286555234736,4.79181927943777,2.16995706097589,1.88756426197254,3.66676795164355,3.07040650273013,4.07039791533632,1.13756909930691,3.72247695393758,3.8679063454317,3.9069002135434,4.21723847262477,4.27799218385297,3.88753501864812,3.30744309779583,2.29281119168335
"HS3ST3A1",0.585058677184702,8.05961539703739,5.20555282091039,3.0356415034654,0.263154625411455,-0.321747769277367,1.43301283943629,-1.32156746620385,1.20169658567743,0.137634671883373,5.20945726479947,3.8679063454317,3.64386773128889,7.50303144095243,0.848077054053145,1.26309451687486,6.23649453176868,-1.73648477595116,9.45285917057782,6.87897173588976,0.848077054053145,3.27799962036785,-1.73648477595116,8.38413660426288,5.53294340434152,-0.999711489841876,2.78661727036308,7.1354538102837,2.2630644616674,-0.514367088258179,4.84800191590403,-1.32156746620385,7.33539124800327,7.15987234565569,2.20166522376443,8.01569436456062,8.19327942841336,2.63229148458671,1.63231475329861,3.76554535437575
"HS3ST3B1",4.53605911873991,5.91408848953983,3.0356415034654,-0.514367088258179,1.07045802601959,-0.321747769277367,0.678162070735047,3.79702335689982,3.8777540641676,5.05745460459493,4.5668212413189,1.76557717794607,-0.73672516502793,4.71699637992699,1.00007213294874,0.000144262291094538,5.8875277077244,6.07681773437523,8.08534020054101,2.92601840126082,-1.73648477595116,0.000144262291094538,4.65535755358152,5.66391668766552,4.56072106757611,0.000144262291094538,4.79181927943777,4.52356822863051,1.53610264748736,1.26309451687486,0.137634671883373,0.848077054053145,6.03562610895929,3.33629767190304,-1.73648477595116,5.08746708446481,6.84298008849078,1.26309451687486,0.926075347876042,-0.151842802900928
"OR10H3",5.84549255997705,5.94016910014709,5.72519854443588,4.49185950829338,5.41954226229265,4.94017144980754,5.69488297792206,6.25927437045026,6.04439630525837,5.18982851146376,6.21140358437403,5.56377132854403,6.95652252492286,6.52513081764725,5.82782156457114,5.89239345469089,5.53294340434152,6.17791978486718,5.48864675297947,5.63227112415594,6.08746496285913,6.87036595265556,5.39232085776286,5.74146968302487,6.42458790575541,5.99095712878364,6.70459673084846,6.49825246342854,6.75087577920594,5.52982406924185,5.79701557260907,5.78659897546641,5.74685286967849,5.81250079240431,6.26678841432361,5.65535469109988,6.22303826921924,6.29278358939892,6.44294515411794,5.43629845169473
"MDH2",8.00281557806115,7.44045477438988,7.95245064079531,6.37851335726115,7.78463549984084,7.63590019128307,8.01178689017397,8.48864394149489,7.42794217031124,7.10643312476506,8.2469785344978,7.58496325212463,8.44956178728338,8.0687788153019,7.62132003371844,7.1395523755864,8.23122166080929,7.95710262212355,7.1436393302152,7.90026364745961,8.3828405766786,8.29416167829807,6.90929428606878,6.96116141599736,8.05474050954073,7.67666303998733,6.53916036239219,7.70321215966307,7.52434660010983,7.95652194412811,7.27891494847262,7.18090470345543,7.28817489114146,7.74685085474363,8.25644506825068,7.95477850650235,7.30833994035681,6.31106891925072,7.96866736912126,7.03452497578786
"FH",9.31831706732103,8.49505592822801,9.45409382605335,9.89284650196684,9.54689465276129,8.00169023129722,8.79213987772227,9.28863563972123,7.84235097203896,9.40471603944628,9.74936682622125,8.56871656868823,9.65230740175157,8.26162530566541,8.19574178529788,8.62168597298585,9.69174369362048,9.45347663039253,8.1210159191707,9.54264518032888,9.50601018367531,7.85362207948196,9.25219257670732,9.46372891085861,6.88264427198424,7.49585582616398,8.46719835919394,10.6967937840026,8.81922142294242,9.04165942539336,10.3110672158179,8.10381285385443,8.97240575200225,9.58515052723557,10.1513972738571,9.19303271493093,8.91647694300868,9.49185329670397,9.15987158899778,8.72587779986063
"ME2",7.76686080622381,7.43296024216883,7.68229307381384,7.99830891456811,6.79831107867597,5.75221604447684,7.63081388019755,8.37068784266668,7.42961680103156,8.32102657971705,9.1500013467052,6.91049403153596,8.46638281670014,8.43962355307982,6.28909854729738,7.69557700216739,7.25266637847947,7.62643986680596,7.80992950863352,7.69348765445328,7.95768306649286,5.76022360826302,8.10538527310191,7.34163089878404,7.22013741499806,7.50779543288806,6.1759257374912,7.76818498656349,7.70390426538457,7.12825318351008,6.54225959772214,4.80219838788253,7.12618924323114,5.97728221349023,7.25361209735645,7.68229307381384,6.96463082180023,8.07146289887438,7.89360551154237,8.1517781620087
